款号,SKU数量,颜色/码数示例
6090AE,8,黑色;L / 黑色;M / 黑色;XL
6092AE,12,紫色;L / 紫色;M / 紫色;XL
6511,40,白色;L / 白色;M / 白色;XL
8001S,12,白色;L / 黑色;L / 蓝色;L
8003S,8,白色;L / 黑色;L / 白色;M
8004S,15,白色;L / 黑色;L / 橙色;L
8005S,10,白色;L / 黑色;L / 白色;M
8007S,15,白色;L / 黑色;L / 灰色;L
8008S,10,白色;L / 黑色;L / 白色;M
8009S,15,白色;L / 黑色;L / 灰色;L
8011S,12,白色;L / 黑色;L / 紫色;L
8012S,6,白色;L / 黑色;L / 灰色;L
8013S,12,白色;L / 黑色;L / 深绿;L
8014S,12,白色;L / 黑色;L / 金色;L
8015S,12,白色;L / 黑色;L / 蓝色;L
8016S,12,白色;L / 黑色;L / 紫色;L
8020S,10,黑色;L / 金色;L / 黑色;M
8022S,4,黑色;L / 灰色;L / 黑色;M
8024S,8,白色;L / 黑色;L / 红色;L
8025S,2,黑色;L / 黑色;M
8026S,4,白色;L / 黑色;L / 白色;M
8027S,4,白色;L / 黑色;L / 白色;M
8036S,8,黑色;L / 紫色;L / 黑色;M
8037S,8,白色;L / 黑色;L / 白色;M
8043S,15,白色;L / 黑色;L / 紫色;L
8044S,10,白色;L / 黑色;L / 白色;M
8045S,15,白色;L / 黑色;L / 深绿;L
8058S,12,白色;L / 黑色;L / 深灰;L
8059S,12,白色;L / 黑色;L / 灰色;L
8068S,3,黑色;L / 黑色;M / 黑色;XL
8069S,8,白色;L / 黑色;L / 白色;M
8070S,8,白色;L / 黑色;L / 白色;M
8071S,8,白色;L / 黑色;L / 白色;M
8072S,8,白色;L / 黑色;L / 白色;M
8073S,8,白色;L / 黑色;L / 白色;M
8074S,8,白色;L / 黑色;L / 白色;M
8075S,12,白色;L / 黑色;L / 灰色;L
8076S,12,白色;L / 黑色;L / 红色;L
8077S,8,白色;L / 黑色;L / 白色;M
8078S,6,白色;L / 黑色;L / 白色;M
8080S,13,白色;L / 黑色;L / 灰色;L
8082S,12,白色;L / 黑色;L / 红色;L
8096S,6,白色;L / 黑色;L / 白色;M
8099S,6,白色;L / 黑色;L / 白色;M
81001WS,6,白色;L / 黑色;L / 白色;M
81002WS,9,灰色;L / 绿色;L / 褐色;L
81003WS,6,玫红;L / 橙色;L / 玫红;M
81004WS,6,黑色;L / 蓝色;L / 黑色;M
81005WS,6,黑色;L / 黄色;L / 黑色;M
8100S,6,白色;L / 黑色;L / 白色;M
8101S,8,黄色;L / 卡其;L / 黄色;M
8102S,4,图片色;L / 图片色;M / 图片色;XL
8103S,16,黑色;L / 紫色;L / 绿色;L
81051WS,12,黑色;L / 粉色;L / 绿色;L
81052WS,3,图片色;L / 图片色;M / 图片色;XL
81053WS,6,黑白;L / 蓝白;L / 黑白;M
81054WS,6,黑色;L / 红色;L / 黑色;M
81055WS,6,黑色;L / 红色;L / 黑色;M
81056WS,6,黑色;L / 红色;L / 黑色;M
81057WS,6,黑色;L / 军绿;L / 黑色;M
81058WS,6,黑色;L / 橙色;L / 黑色;M
81059WS,6,黑色;L / 军绿;L / 黑色;M
8105S,8,黑色;L / 紫色;L / 黑色;M
81060WS,6,黑色;L / 军绿;L / 黑色;M
81061WS,6,黑色;L / 军绿;L / 黑色;M
81062WS,6,黑色;L / 军绿;L / 黑色;M
81063WS,6,黑色;L / 绿色;L / 黑色;M
81064WS,6,黑色;L / 军绿;L / 黑色;M
81065WS,9,黑色;L / 紫色;L / 绿色;L
81066WS,6,灰色;L / 绿色;L / 灰色;M
81067WS,6,白色;L / 黑色;L / 白色;M
81068WS,6,黑色;L / 橙色;L / 黑色;M
81069WS,6,白色;L / 橙色;L / 白色;M
8106S,8,紫色;L / 褐色;L / 紫色;M
81070WS,6,黑色;L / 灰色;L / 黑色;M
81071WS,6,灰色;L / 橙色;L / 灰色;M
81072WS,9,黑色;L / 红色;L / 炭色;L
81073WS,6,白色;L / 黑色;L / 白色;M
81074WS,9,黑色;L / 绿色;L / 黄色;L
81075WS,9,黑色;L / 军绿;L / 黄色;L
81076WS,6,蓝色;L / 黄色;L / 蓝色;M
81077WS,6,绿色;L / 蓝色;L / 绿色;M
81078WS,6,黑色;L / 橙色;L / 黑色;M
81079WS,6,白红;L / 白蓝;L / 白红;M
8107S,12,紫色;L / 绿色;L / 蓝色;L
81080WS,6,黑色;L / 祖母绿;L / 黑色;M
81081WS,6,黑色;L / 紫色;L / 黑色;M
81082WS,6,紫色;L / 绿色;L / 紫色;M
81083WS,6,黑色;L / 橙色;L / 黑色;M
81085WS,6,白色;L / 黑色;L / 白色;M
81086WS,9,黑色;L / 橙色;L / 灰绿;L
81087WS,6,白紫;L / 白绿;L / 白紫;M
81088WS,6,白橙;L / 白黑;L / 白橙;M
81089WS,12,黑色;L / 灰色;L / 紫色;L
8108S,8,蓝色;L / 褐色;L / 蓝色;M
81090W,3,黑色;L / 黑色;M / 黑色;S
81091W,3,黑色;L / 黑色;M / 黑色;S
81092W,3,黑色;L / 黑色;M / 黑色;S
81093W,3,黑色;L / 黑色;M / 黑色;S
81094W,3,黑色;L / 黑色;M / 黑色;S
81095W,3,黑色;L / 黑色;M / 黑色;S
81096W,3,蓝色;L / 蓝色;M / 蓝色;S
81097WS,6,红色;L / 卡其;L / 红色;M
81098WS,6,白色;L / 黑色;L / 白色;M
81099WS,6,黑色;L / 杏色;L / 黑色;M
81100W,3,黑色;L / 黑色;M / 黑色;XL
81101W,3,黑色;L / 黑色;M / 黑色;S
81102WS,6,黑色;L / 红色;L / 黑色;M
81103WS,6,黑色;L / 蓝色;L / 黑色;M
81104W,3,黑色;L / 黑色;M / 黑色;S
8110S,8,黑色;L / 玫红;L / 黑色;M
81114W,3,蓝色;L / 蓝色;M / 蓝色;XL
81115WS,9,黑色;L / 黄色;L / 灰绿;L
81116WS,9,黑色;L / 蓝色;L / 橙色;L
81117WS,3,紫色;L / 紫色;M / 紫色;XL
81118WS,6,黑色;L / 蓝色;L / 黑色;M
81119WS,6,黑色;L / 灰色;L / 黑色;M
8111S,12,黑色;L / 紫色;L / 黄色;L
81120WS,12,黑色;L / 红色;L / 粉红色;L
81121WS,6,黑色;L / 蓝色;L / 黑色;M
81122WS,9,黑色;L / 红色;L / 绿色;L
81123WS,6,黑色;L / 卡其;L / 黑色;M
81124WS,9,黑色;L / 红色;L / 蓝色;L
81125WS,6,黑色;L / 绿色;L / 黑色;M
81126WS,6,灰色;L / 橙色;L / 灰色;M
81127WS,3,军绿;L / 军绿;M / 军绿;XL
81128WS,6,黑色;L / 军绿;L / 黑色;M
81129W,4,沙色;L / 沙色;M / 沙色;S
81130W,8,粉色;L / 灰蓝;L / 粉色;M
8113S,12,黑色;L / 蓝色;L / 卡其;L
81151WS,9,白色;L / 红色;L / 黄色;L
81152WS,6,黑色;L / 绿色;L / 黑色;M
81153WS,6,黑色;L / 军绿;L / 黑色;M
81154WS,9,黑色;L / 酒红;L / 墨绿;L
81156WS,15,白色;L / 黑色;L / 灰色;L
81157WS,6,白色;L / 黑色;L / 白色;M
81158WS,6,黑色;L / 灰色;L / 黑色;M
81159WS,6,黑色;L / 紫色;L / 黑色;M
81160WS,6,白色;L / 黑色;L / 白色;M
81165WS,6,黑-灰色;L / 黑绿;L / 黑-灰色;M
81166WS,6,黑色;L / 灰色;L / 黑色;M
81167WS,6,黑色;L / 卡其;L / 黑色;M
81168WS,6,黑色;L / 荧光绿;L / 黑色;M
81169W,4,黑色;L / 黑色;M / 黑色;XL
8116S,20,灰色;L / 红色;L / 绿色;L
81170W,4,蓝色;L / 蓝色;M / 蓝色;XL
81171W,4,蓝色;L / 蓝色;M / 蓝色;XL
81172W,4,黑色;L / 黑色;M / 黑色;XL
81173W,4,蓝色;L / 蓝色;M / 蓝色;XL
81174W,4,蓝色;L / 蓝色;M / 蓝色;XL
81175W,4,黑色;L / 黑色;M / 黑色;XL
81176W,8,黑色;L / 灰色;L / 黑色;M
81177WS,6,黑色;L / 绿色;L / 黑色;M
81178WS,6,红色;L / 紫色;L / 红色;M
81179WS,6,黑色;L / 绿色;L / 黑色;M
8117S,10,黑色;L / 蓝色;L / 黑色;M
81181WS,6,白色;L / 黑色;L / 白色;M
81182WS,6,粉色;L / 藏蓝色;L / 粉色;M
81184WS,6,黑色;L / 灰色;L / 黑色;M
81185WS,6,黑色;L / 卡其;L / 黑色;M
81186WS,6,黑色;L / 宝蓝;L / 黑色;M
81187WS,12,黑色;L / 灰色;L / 紫色;L
81188W,3,黑色;L / 黑色;M / 黑色;XL
8118S,10,白色;L / 黑色;L / 白色;M
81193W,3,绿色;L / 绿色;M / 绿色;XL
81194W,3,黑色;L / 黑色;M / 黑色;XL
81195WS,9,黑色;L / 粉色;L / 蓝色;L
81197WS,6,黑红;L / 黑-蓝色;L / 黑红;M
81198WS,6,黑色;L / 军绿;L / 黑色;M
8119S,10,白色;L / 黑色;L / 白色;M
81200WS,9,黑色;L / 绿色;L / 灰绿;L
8120S,10,黑色;L / 金色;L / 黑色;M
8121S,10,白色;L / 紫色;L / 白色;M
8122S,15,白色;L / 黑色;L / 酒红;L
8123S,10,白色;L / 炭色;L / 白色;M
8124S,15,白色;L / 黑色;L / 黄色;L
81251WS,15,白色;L / 黑色;L / 红色;L
81252WS,6,黑色;L / 蓝色;L / 黑色;M
81253WS,9,黑色;L / 灰色;L / 紫色;L
81254WS,9,白色;L / 黑色;L / 绿色;L
81255WS,6,红色;L / 绿色;L / 红色;M
81256WS,12,白色;L / 红色;L / 紫色;L
81257WS,6,白色;L / 黑色;L / 白色;M
81258WS,6,白色;L / 绿色;L / 白色;M
81259WS,6,紫色;L / 蓝色;L / 紫色;M
8125S,15,白色;L / 黑色;L / 墨绿;L
81260WS,6,黑色;L / 荧光绿;L / 黑色;M
81261W,3,黑色;L / 黑色;M / 黑色;S
81262W,3,黑色;L / 黑色;M / 黑色;S
81263W,3,黑色;L / 黑色;M / 黑色;S
81264W,3,黑色;L / 黑色;M / 黑色;S
81265W,3,黑色;L / 黑色;M / 黑色;S
81266W,3,黑色;L / 黑色;M / 黑色;S
81267W,6,黑-金色;L / 黑-灰色;L / 黑-金色;M
81269W,3,图片色;L / 图片色;M / 图片色;XL
8126S,15,白色;L / 黑色;L / 黑巧克力;L
81270W,8,白色;L / 黄色;L / 白色;M
81271W,3,黑色;L / 黑色;M / 黑色;XL
81272WS,6,绿色;L / 浅粉;L / 绿色;M
81273W,3,黑色;L / 黑色;M / 黑色;S
8127S,15,白色;L / 黑色;L / 金色;L
8129S,10,白色;L / 黑色;L / 白色;M
8132S,10,白色;L / 黑色;L / 白色;M
8133S,10,白色;L / 黑色;L / 白色;M
8134S,10,白色;L / 沙色;L / 白色;M
8137S,15,白色;L / 黑色;L / 墨绿;L
8140S,10,白色;L / 黑色;L / 白色;M
8141S,10,白色;L / 黑色;L / 白色;M
8142S,10,白色;L / 黑色;L / 白色;M
8143S,15,白色;L / 黑色;L / 酒红;L
8144S,10,白色;L / 黑色;L / 白色;M
8145S,10,白色;L / 黑色;L / 白色;M
8146S,20,白色;L / 黑色;L / 黑巧克力;L
8148S,15,白色;L / 黑色;L / 金色;L
8149S,10,白色;L / 炭色;L / 白色;M
8150S,4,白色;L / 黑色;L / 白色;M
8151S,8,白色;L / 黑色;L / 白色;M
8153S,6,白色;L / 黑色;L / 灰色;L
8157S,8,白色;L / 军绿;L / 白色;M
8158S,10,白色;L / 黑色;L / 白色;M
8159S,10,紫色;L / 墨绿;L / 紫色;M
8161S,5,白色;L / 白色;M / 白色;S
8162S,10,黑色;L / 酒红;L / 黑色;M
8164S,15,白色;L / 黑色;L / 墨绿;L
8166S,12,白色;L / 黑色;L / 蓝色;L
8168S,5,红色;L / 红色;M / 红色;S
8169S,4,绿色;L / 深灰;L / 绿色;M
8170S,4,白色;L / 黑色;L / 白色;M
8176S,4,紫色;L / 绿色;L / 紫色;M
8177S,6,白色;L / 黑色;L / 炭色;L
8182S,2,黑色;L / 黑色;M
8185S,4,宝蓝;L / 宝蓝;M / 宝蓝;XL
8188S,4,白色;L / 卡其;L / 白色;M
8190S,4,白色;L / 黑色;L / 白色;M
8192S,6,白色;L / 黑色;L / 军绿;L
8196S,2,白色;L / 白色;M
8197S,10,灰色;L / 金色;L / 灰色;M
8200S,28,白色;L / 黑色;L / 酒红;L
8201S,10,白色;L / 黑色;L / 白色;M
8202S,15,白色;L / 黑色;L / 深灰;L
8205S,10,白色;L / 沙色;L / 白色;M
8206S,10,白色;L / 黑色;L / 白色;M
8207S,15,白色;L / 黑色;L / 深灰;L
8208S,10,白色;L / 黑色;L / 白色;M
8211S,5,黑色;L / 黑色;M / 黑色;S
8213S,10,白色;L / 黑色;L / 白色;M
8215S,10,白色;L / 黑色;L / 白色;M
8216S,15,白色;L / 黑色;L / 炭色;L
8217S,10,白色;L / 黑色;L / 白色;M
8218S,10,白色;L / 黑色;L / 白色;M
8219S,10,白色;L / 黑色;L / 白色;M
8220S,10,白色;L / 黑色;L / 白色;M
8221S,10,白色;L / 黑色;L / 白色;M
8224S,10,白色;L / 黑色;L / 白色;M
8225S,10,白色;L / 黑色;L / 白色;M
8227S,15,白色;L / 黑色;L / 蓝色;L
8228S,10,黑色;L / 炭色;L / 黑色;M
8232S,10,白色;L / 黑色;L / 白色;M
8233S,15,黑色;L / 炭色;L / 沙色;L
8236S,5,黑色;L / 黑色;M / 黑色;S
8238S,15,白色;L / 黑色;L / 金色;L
8243S,10,白色;L / 黑色;L / 白色;M
8248S,2,迷彩;L / 迷彩;M
8251S,10,白色;L / 黑色;L / 白色;M
8253S,10,白色;L / 黑色;L / 白色;M
8255S,10,白色;L / 黑色;L / 白色;M
8256S,10,白色;L / 黑色;L / 白色;M
8257S,10,白色;L / 黑色;L / 白色;M
8258S,10,白色;L / 黑色;L / 白色;M
8259S,10,白色;L / 黑色;L / 白色;M
8261S,15,白色;L / 黑色;L / 蓝色;L
8262S,4,黑色;L / 杏色;L / 黑色;M
8263S,4,白色;L / 黑色;L / 白色;M
8264S,4,白色;L / 黑色;L / 白色;M
8266S,15,白色;L / 黑色;L / 深灰;L
8268S,5,黑色;L / 黑色;M / 黑色;S
8269S,6,白色;L / 黑色;L / 黄色;L
8270S,10,金色;L / 炭色;L / 金色;M
